run_id,log,step,pos,p,k_rate
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,0,0,0.50,0.85
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,0,1,0.50,0.85
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,20,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,20,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,40,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,40,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,60,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,60,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,80,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,80,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,100,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,100,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,120,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,120,1,0.50,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,0,0,0.00,0.65
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,0,1,0.00,0.65
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,20,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,20,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,40,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,40,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,60,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,60,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,80,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,80,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,100,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,100,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,120,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,120,1,0.00,0.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,0,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,0,1,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,20,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,20,1,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,40,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,40,1,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,60,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,60,1,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,80,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,80,1,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,100,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,100,1,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,120,0,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,120,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,0,0,1.00,0.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,0,1,1.00,0.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,20,0,1.00,0.75
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,20,1,1.00,0.75
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,40,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,40,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,60,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,60,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,80,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,80,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,100,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,100,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,120,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,120,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,140,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,140,1,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,150,0,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,150,1,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,0,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,0,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,20,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,20,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,40,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,40,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,60,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,60,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,80,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,80,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,100,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,100,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,120,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,120,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,140,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,140,1,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,150,0,1.00,0.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,150,1,1.00,0.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,0,0,1.00,0.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,0,1,1.00,0.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,20,0,1.00,0.95
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,20,1,1.00,0.95
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,40,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,40,1,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,60,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,60,1,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,80,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,80,1,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,100,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,100,1,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,120,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,120,1,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,140,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,140,1,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,150,0,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,150,1,1.00,1.00
evidential_modelpred_r1_calib,results/r1_calib.log,0,0,0.50,0.50
evidential_modelpred_r1_calib,results/r1_calib.log,0,1,0.99,0.75
evidential_modelpred_r1_calib,results/r1_calib.log,10,0,0.50,0.00
evidential_modelpred_r1_calib,results/r1_calib.log,10,1,0.99,1.00
evidential_modelpred_r1_calib,results/r1_calib.log,20,0,0.50,0.00
evidential_modelpred_r1_calib,results/r1_calib.log,20,1,0.99,0.50
evidential_modelpred_r1_calib,results/r1_calib.log,30,0,0.50,0.00
evidential_modelpred_r1_calib,results/r1_calib.log,30,1,0.99,0.75
evidential_r1_lag,results/r1_lag.log,0,0,0.50,0.50
evidential_r1_lag,results/r1_lag.log,0,1,0.99,1.00
evidential_r1_lag,results/r1_lag.log,10,0,0.50,0.43
evidential_r1_lag,results/r1_lag.log,10,1,0.99,0.88
evidential_r1_lag,results/r1_lag.log,20,0,0.50,0.50
evidential_r1_lag,results/r1_lag.log,20,1,0.99,1.00
evidential_r1_lag,results/r1_lag.log,30,0,0.50,0.43
evidential_r1_lag,results/r1_lag.log,30,1,0.99,0.43
evidential_r1_lag,results/r1_lag.log,40,0,0.50,0.12
evidential_r1_lag,results/r1_lag.log,40,1,0.99,0.57
evidential_r1_lag0,results/r1_lag0.log,0,0,0.50,0.50
evidential_r1_lag0,results/r1_lag0.log,0,1,0.99,1.00
evidential_r1_lag0,results/r1_lag0.log,10,0,0.50,0.14
evidential_r1_lag0,results/r1_lag0.log,10,1,0.99,0.50
evidential_r1_lag0,results/r1_lag0.log,20,0,0.50,0.29
evidential_r1_lag0,results/r1_lag0.log,20,1,0.99,0.62
evidential_r1_lag0,results/r1_lag0.log,30,0,0.50,0.12
evidential_r1_lag0,results/r1_lag0.log,30,1,0.99,0.00
evidential_r1_lag0,results/r1_lag0.log,40,0,0.50,0.00
evidential_r1_lag0,results/r1_lag0.log,40,1,0.99,0.12
r1_lag0_3072_smoke,results/r1_lag0_3072_smoke.log,0,0,0.50,0.75
r1_lag0_3072_smoke,results/r1_lag0_3072_smoke.log,0,1,0.99,1.00
r1_lag_smoke,results/r1_lag_smoke.log,0,0,0.50,0.75
r1_lag_smoke,results/r1_lag_smoke.log,0,1,0.99,1.00
r1_lag_smoke,results/r1_lag_smoke.log,2,0,0.50,0.33
r1_lag_smoke,results/r1_lag_smoke.log,2,1,0.99,1.00
evidential_r1_loo,results/r1_loo.log,0,0,0.50,0.75
evidential_r1_loo,results/r1_loo.log,0,1,0.99,1.00
evidential_r1_loo,results/r1_loo.log,10,0,0.50,0.50
evidential_r1_loo,results/r1_loo.log,10,1,0.99,1.00
evidential_r1_loo,results/r1_loo.log,20,0,0.50,0.00
evidential_r1_loo,results/r1_loo.log,20,1,0.99,1.00
evidential_r1_loo,results/r1_loo.log,30,0,0.50,0.25
evidential_r1_loo,results/r1_loo.log,30,1,0.99,0.75
r1_loo_smoke,results/r1_loo_smoke.log,0,0,0.50,0.00
r1_loo_smoke,results/r1_loo_smoke.log,0,1,0.99,1.00
r1_smoke,results/r1_smoke.log,0,0,0.50,0.50
r1_smoke,results/r1_smoke.log,0,1,0.99,1.00
evidential_modelpred_r1_smoke2,results/r1_smoke2.log,2,0,0.50,0.00
evidential_modelpred_r1_smoke2,results/r1_smoke2.log,2,1,0.99,1.00
evidential_cot,results/rl_cot.log,0,0,0.50,0.00
evidential_cot,results/rl_cot.log,0,1,0.99,0.50
evidential_cot,results/rl_cot.log,20,0,0.50,0.40
evidential_cot,results/rl_cot.log,20,1,0.99,0.20
evidential_cot,results/rl_cot.log,40,0,0.50,0.70
evidential_cot,results/rl_cot.log,40,1,0.99,0.80
evidential_cot,results/rl_cot.log,60,0,0.50,0.70
evidential_cot,results/rl_cot.log,60,1,0.99,0.80
evidential,results/rl_run.log,0,0,0.50,0.85
evidential,results/rl_run.log,0,1,0.99,0.90
evidential,results/rl_run.log,50,0,0.50,0.00
evidential,results/rl_run.log,50,1,0.99,0.00
evidential,results/rl_run.log,100,0,0.50,0.00
evidential,results/rl_run.log,100,1,0.99,0.00
evidential,results/rl_run.log,150,0,0.50,0.00
evidential,results/rl_run.log,150,1,0.99,0.00
evidential,results/rl_run.log,50,0,0.50,0.05
evidential,results/rl_run.log,50,1,0.99,0.05
evidential,results/rl_run.log,100,0,0.50,0.65
evidential,results/rl_run.log,100,1,0.99,0.50
evidential,results/rl_run.log,150,0,0.50,0.65
evidential,results/rl_run.log,150,1,0.99,0.55
evidential_cot_kl002,results/run_cot_kl002.log,0,0,0.50,0.75
evidential_cot_kl002,results/run_cot_kl002.log,0,1,0.99,0.75
evidential_cot_kl002,results/run_cot_kl002.log,20,0,0.50,0.88
evidential_cot_kl002,results/run_cot_kl002.log,20,1,0.99,0.88
evidential_cot_kl002,results/run_cot_kl002.log,40,0,0.50,0.50
evidential_cot_kl002,results/run_cot_kl002.log,40,1,0.99,0.75
evidential_cot_kl002,results/run_cot_kl002.log,60,0,0.50,0.75
evidential_cot_kl002,results/run_cot_kl002.log,60,1,0.99,0.88
evidential_cot_kl005,results/run_cot_kl005.log,0,0,0.50,0.75
evidential_cot_kl005,results/run_cot_kl005.log,0,1,0.99,0.75
evidential_cot_kl005,results/run_cot_kl005.log,20,0,0.50,0.88
evidential_cot_kl005,results/run_cot_kl005.log,20,1,0.99,0.88
evidential_cot_kl005,results/run_cot_kl005.log,40,0,0.50,0.75
evidential_cot_kl005,results/run_cot_kl005.log,40,1,0.99,0.62
evidential_cot_kl005,results/run_cot_kl005.log,60,0,0.50,0.50
evidential_cot_kl005,results/run_cot_kl005.log,60,1,0.99,0.50
evidential_cot_kl01,results/run_cot_kl01.log,0,0,0.50,0.75
evidential_cot_kl01,results/run_cot_kl01.log,0,1,0.99,0.75
evidential_cot_kl01,results/run_cot_kl01.log,20,0,0.50,0.50
evidential_cot_kl01,results/run_cot_kl01.log,20,1,0.99,0.38
evidential_cot_kl01,results/run_cot_kl01.log,40,0,0.50,0.75
evidential_cot_kl01,results/run_cot_kl01.log,40,1,0.99,0.75
evidential_cot_kl01,results/run_cot_kl01.log,60,0,0.50,0.50
evidential_cot_kl01,results/run_cot_kl01.log,60,1,0.99,0.62
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,0,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,0,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,15,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,15,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,30,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,30,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,45,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,45,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,60,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,60,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,75,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,75,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,90,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,90,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,105,0,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,105,1,0.80,1.00
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,120,0,0.80,1.00
