run_id,log,adapter,arm,model,dataset,train_p,pstar,kl,kl_ref,seed_adapter,lag,cot,snapshot_every,tag,n_eval_points,max_step,mode_line
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential_oracle_p05_base,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5],0.8,,,None,,,,,8,120,
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential_oracle_p0_base,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.0],0.8,,,None,,,,,8,120,
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential_oracle_p1_base,evidential,Qwen/Qwen2.5-3B-Instruct,,[1.0],0.8,,,None,,,,,8,120,
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential_oracle_p1_causal,evidential,Qwen/Qwen2.5-3B-Instruct,,[1.0],0.8,,,/root/kanad_dt_rl/results/adapters/causal,,,,,10,150,
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential_oracle_klctl_kl00,evidential,Qwen/Qwen2.5-3B-Instruct,,[1.0],0.8,,,results/adapters/causal,,,,,10,150,
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential_oracle_klctl_kl002,evidential,Qwen/Qwen2.5-3B-Instruct,,[1.0],0.8,,,results/adapters/causal,,,,,10,150,
evidential_modelpred_r1_calib,results/r1_calib.log,evidential_modelpred_r1_calib,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,,seed,None,,True,10,,5,30,[selfplay-cot] model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json cot=True gr
evidential_r1_lag,results/r1_lag.log,evidential_r1_lag,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,0.02,,None,3,,,r1_lag,6,40,[selfplay-lag] A2-LAG | model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json gr
evidential_r1_lag0,results/r1_lag0.log,evidential_r1_lag0,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,0.02,,None,0,,,r1_lag0,6,40,[selfplay-lag] A2-LAG | model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json gr
r1_lag0_3072_smoke,results/r1_lag0_3072_smoke.log,,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,0.02,,None,0,,,r1_lag0_3072_smoke,1,0,[selfplay-lag] A2-LAG | model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json gr
r1_lag_smoke,results/r1_lag_smoke.log,,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,0.02,,None,2,,,r1_lag_smoke,3,2,[selfplay-lag] A2-LAG | model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json gr
evidential_r1_loo,results/r1_loo.log,evidential_r1_loo,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,0.02,,None,,,,r1_loo,5,30,[selfplay-loo] A2 self-consistency | model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_me
r1_loo_smoke,results/r1_loo_smoke.log,,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,0.02,,None,,,,r1_loo_smoke,3,2,[selfplay-loo] A2 self-consistency | model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_me
r1_smoke,results/r1_smoke.log,,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,,seed,None,,True,1,,1,0,[selfplay-cot] model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json cot=True gr
evidential_modelpred_r1_smoke2,results/r1_smoke2.log,evidential_modelpred_r1_smoke2,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,,seed,None,,True,1,,2,2,[selfplay-cot] model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json cot=True gr
evidential_cot,results/rl_cot.log,evidential_cot,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,5,60,
evidential,results/rl_run.log,evidential,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,5,150,
evidential_cot_kl002,results/run_cot_kl002.log,evidential_cot_kl002,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,5,60,
evidential_cot_kl005,results/run_cot_kl005.log,evidential_cot_kl005,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,5,60,
evidential_cot_kl01,results/run_cot_kl01.log,evidential_cot_kl01,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,5,60,
evidential_modelpred_hyst_onebox_seedref,results/run_hyst_onebox_seedref.log,evidential_modelpred_hyst_onebox_seedref,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.8],0.8,,seed,results/adapters/evidential_oracle_p1_base,,,,,12,150,
evidential_modelpred,results/run_modelpred_3b.log,evidential_modelpred,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,8,150,
evidential_paired_cot,results/run_paired_cot.log,evidential_paired_cot,evidential,Qwen/Qwen2.5-3B-Instruct,,[0.5; 0.6; 0.7; 0.8; 0.9; 0.99],0.8,,,,,,,,5,60,
evidential_modelpred_r1_kl0,results/run_r1_kl0.log,evidential_modelpred_r1_kl0,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,,seed,None,,True,10,,5,30,[selfplay-cot] model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json cot=True gr
evidential_modelpred_r1_seed1,results/run_r1_seed1.log,evidential_modelpred_r1_seed1,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,newcomb_eval/data/dataset_mech_m3.json,(0.5; 0.6; 0.9; 0.99),0.8,,seed,None,,True,10,,5,30,[selfplay-cot] model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B dataset=newcomb_eval/data/dataset_mech_m3.json cot=True gr
evidential_modelpred_hyst_base_baseref,results/selfsnapshot/hyst_base_baseref.log,evidential_modelpred_hyst_base_baseref,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.8],0.8,,base,None,,,,,12,150,
evidential_modelpred_hyst_base_seedref,results/selfsnapshot/hyst_base_seedref.log,evidential_modelpred_hyst_base_seedref,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.8],0.8,,seed,None,,,,,12,150,
evidential_modelpred_hyst_causal_baseref,results/selfsnapshot/hyst_causal_baseref.log,evidential_modelpred_hyst_causal_baseref,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.8],0.8,,base,/root/kanad_dt_rl/results/adapters/causal,,,,,12,150,
evidential_modelpred_hyst_causal_seedref,results/selfsnapshot/hyst_causal_seedref.log,evidential_modelpred_hyst_causal_seedref,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.8],0.8,,seed,/root/kanad_dt_rl/results/adapters/causal,,,,,12,150,
evidential_modelpred_hyst_causal_seedref_ema,results/selfsnapshot/hyst_causal_seedref_ema.log,evidential_modelpred_hyst_causal_seedref_ema,evidential_modelpred,Qwen/Qwen2.5-3B-Instruct,,[0.8],0.8,,seed,/root/kanad_dt_rl/results/adapters/causal,,,,,12,150,
evidential_modelpred_smoke_seedref,results/selfsnapshot/smoke_seedref.log,evidential_modelpred_smoke_seedref,evidential_modelpred,Qwen/Qwen2.5-0.5B-Instruct,,[0.8],0.8,,seed,None,,,,,4,16,
